,tweets,likes,time
60,"RT @JENFL23: The AOC/Bernie anti-bombs bill WILL get a floor vote.

You will therefore see in real time who is owned by AIPAC &amp; the MIC and…",0,2021-05-20 20:24:13
61,@2funtime2 @vaibhav_0976 Do you want to make a country tamil eelam which is mostly tamil speaking language.your comments is baseless you want to  said to Israel army do genocide in hamas but same things is done by srilankan army in the time civil war,0,2021-05-20 20:24:13
62,RT @infobaeamerica: 🔴 REITERAMOS | Israel y Hamas acordaron un alto al fuego después de 11 días de enfrentamientos https://t.co/Tq5NrIUwuN,0,2021-05-20 20:24:13
63,RT @DaniellaCheslow: BREAKING: Ceasefire between #Hamas and #Israel to begin Friday at 2am,0,2021-05-20 20:24:13
64,"RT @dwnews: JUST IN: Israel's Security Cabinet has approved a unilateral ceasefire to end its 11-day military offensive in Gaza.

More to f…",0,2021-05-20 20:24:13
65,"RT @Noir_Franck: Ouais...

À un moment, faudrait peut-être qu'on juge #Israël pour son crime contre l'humanité, non ?",0,2021-05-20 20:24:13
66,"AOC, Bernie Sanders Try to Undermine Israel's Ability to Defend Itself Amid Hamas Rocket Attacks https://t.co/K95FB8hP6X",0,2021-05-20 20:24:13
67,RT @m7mdkurd: All these bitches is my sons @Israel @IsraeliPM @MarkRegev @naftalibennett,0,2021-05-20 20:24:13
68,"RT @Ibbyakram11: Just remember if a truce is broken, it will be Israel who violates the ceasefire. “Palestinian resistance will abide by th…",0,2021-05-20 20:24:13
69,"Hamas e Israel van a reunirse para tratar sus diferencias este viernes y en Nicaragua una oposición con más candidatos a la ""presidencia"" que la Tabla Periódica de los Elementos no llegan a hacerlo aunque el pueblo sea el Carbono y Ortega cualquier cosa.",0,2021-05-20 20:24:13
70,"RT @baxilaly: ISRAEL-PALESTINE CONFLICT
LATEST UPDATES.

Tamim bin Hamad Al Tani, Emir of Qatar,
He donated $ 50 million to Palestine and e…",0,2021-05-20 20:24:13
71,RT @cnnbrk: Israel and Hamas agree to a ceasefire after 11 days of conflict that killed more than 200 Palestinians and 12 people in Israel…,0,2021-05-20 20:24:13
72,RT @aamullanee: So this is terrorism right? Like how does Israel still get to play the victim after all this?,0,2021-05-20 20:24:13
73,"@LanaMontalban @GiordanoGringo Muy valiente, muy cierto. Pero tan cierto como que Israel también es un ocupa en tierras palestinas y que Hamas no existiría de no ser por el hecho de que un conjunto de políticos decidieron robar una tierra y entregarsela a un grupo de personas.",0,2021-05-20 20:24:13
74,RT @gemmapunky: Grandes!!! Estibadores de Livorno en Italia que se negaron a cargar armas em barcos con destino a Israel. https://t.co/DdGh…,0,2021-05-20 20:24:13
75,"RT @Barahmeh: Israel’s devastation of Gaza. 

Harrowing.

(Photo by Wissam Nasser) https://t.co/D3vmPoP8c1",0,2021-05-20 20:24:13
76,"RT @theIovedcIub: Boycotting will be very effective and we need to cut off Israel's resources, please get this app !!!! https://t.co/CEwV5e…",0,2021-05-20 20:24:13
77,RT @LinksfraktionB: Bei der Solidaritätskundgebung für Israel vor dem Brandenburger Tor. In den letzten Tagen kam es zu antisemitischer Het…,0,2021-05-20 20:24:13
78,RT @AlertaNews24: 🇪🇬🇮🇱🇵🇸 | AHORA: El presidente egipcio Sisi está enviando dos delegaciones de seguridad a Israel y Gaza para trabajar por…,0,2021-05-20 20:24:13
79,Just In: Israel on Thursday announced a cease-fire in the bruising 11-day war against Hamas militants that caused widespread destruction in the Gaza Strip. https://t.co/E0FDItHKDu,0,2021-05-20 20:24:13
